"(1427, 2009)","(1452, 2035)"
"(2204, 1534)","(2221, 1534)"
"(3133, 1608)","(3148, 1622)"
"(598, 1319)","(610, 1330)"
"(1698, 1378)","(1702, 1378)"
"(2850, 1327)","(2852, 1345)"
"(2290, 1525)","(2302, 1540)"
"(3346, 1451)","(3360, 1469)"
"(2215, 1870)","(2223, 1876)"
"(2469, 1805)","(2479, 1808)"
"(3242, 1389)","(3271, 1410)"
"(1642, 1861)","(1654, 1870)"
"(973, 1549)","(998, 1560)"
"(3100, 2248)","(3108, 2265)"
"(2054, 1454)","(2060, 1463)"
"(2079, 1552)","(2092, 1558)"
"(1927, 1549)","(1935, 1560)"
"(3629, 1684)","(3640, 1708)"
"(1998, 1528)","(2008, 1528)"
"(2796, 1735)","(2815, 1746)"
"(1154, 1528)","(1167, 1531)"
"(3121, 1478)","(3140, 1490)"
"(2408, 1316)","(2415, 1327)"
"(2035, 1611)","(2058, 1628)"
"(3167, 1383)","(3183, 1401)"
"(1965, 1038)","(1973, 1047)"
"(846, 1245)","(865, 1248)"
"(2246, 1257)","(2238, 1265)"
"(640, 1186)","(652, 1195)"
"(565, 1198)","(577, 1204)"
"(3619, 1496)","(3640, 1513)"
"(1527, 2115)","(1546, 2145)"
"(756, 823)","(777, 853)"
"(2096, 1543)","(2108, 1549)"
"(3571, 1345)","(3583, 1357)"
"(3523, 1451)","(3546, 1437)"
"(2802, 1162)","(2815, 1168)"
"(2804, 2142)","(2815, 2168)"
"(627, 1853)","(646, 1861)"
"(3500, 2472)","(3527, 2507)"
"(3446, 1761)","(3458, 1782)"
