"(1117, 2124)","(1129, 2133)"
"(1946, 1496)","(1958, 1513)"
"(2923, 1504)","(2933, 1513)"
"(415, 1333)","(429, 1333)"
"(1571, 1383)","(1581, 1383)"
"(2660, 1348)","(2673, 1357)"
"(2096, 1501)","(2108, 1501)"
"(3192, 1451)","(3204, 1454)"
"(808, 1726)","(825, 1729)"
"(1148, 1717)","(1167, 1714)"
"(2931, 1516)","(2952, 1525)"
"(1429, 1829)","(1440, 1835)"
"(627, 1643)","(660, 1664)"
"(2906, 2195)","(2917, 2204)"
"(1958, 1460)","(1956, 1457)"
"(1969, 1581)","(1977, 1584)"
"(1785, 1531)","(1792, 1534)"
"(3408, 1631)","(3427, 1646)"
"(3383, 1204)","(3396, 1212)"
"(2602, 1673)","(2612, 1681)"
"(894, 1560)","(919, 1566)"
"(2877, 1457)","(2890, 1472)"
"(2265, 1333)","(2283, 1354)"
"(1771, 1631)","(1783, 1640)"
"(2994, 1392)","(3008, 1398)"
"(1852, 1062)","(1854, 1059)"
"(629, 1277)","(646, 1283)"
"(2152, 1257)","(2148, 1251)"
"(483, 1204)","(496, 1212)"
"(431, 1218)","(435, 1218)"
"(3423, 1531)","(3427, 1534)"
"(1258, 2198)","(1277, 2198)"
"(433, 752)","(454, 779)"
"(1879, 1558)","(1896, 1566)"
"(3383, 1327)","(3392, 1327)"
"(3283, 1422)","(3285, 1434)"
"(2685, 1177)","(2692, 1174)"
"(2512, 2047)","(2523, 2065)"
"(1525, 1487)","(1542, 1487)"
"(3198, 2407)","(3202, 2416)"
"(3283, 1708)","(3290, 1720)"
