"(1119, 2233)","(1158, 2257)"
"(1919, 1578)","(1938, 1581)"
"(2867, 1575)","(2875, 1578)"
"(1915, 1375)","(1919, 1381)"
"(1575, 1419)","(1583, 1422)"
"(2656, 1401)","(2675, 1410)"
"(2090, 1549)","(2100, 1563)"
"(3194, 1499)","(3215, 1507)"
"(806, 1773)","(819, 1776)"
"(1162, 1755)","(1177, 1767)"
"(2931, 1605)","(2952, 1617)"
"(1394, 1897)","(1412, 1900)"
"(654, 1732)","(683, 1749)"
"(2896, 2242)","(2912, 2254)"
"(1952, 1487)","(1962, 1487)"
"(1975, 1611)","(1988, 1617)"
"(1775, 1566)","(1783, 1581)"
"(1350, 1425)","(1362, 1431)"
"(1881, 1614)","(1890, 1617)"
"(2581, 1720)","(2594, 1732)"
"(894, 1631)","(925, 1643)"
"(2875, 1525)","(2883, 1543)"
"(2252, 1381)","(2262, 1386)"
"(1760, 1693)","(1775, 1705)"
"(2981, 1437)","(2994, 1448)"
"(1846, 1091)","(1856, 1094)"
"(665, 1336)","(688, 1348)"
"(2135, 1280)","(2140, 1280)"
"(481, 1242)","(494, 1242)"
"(425, 1251)","(440, 1251)"
"(3400, 1578)","(3415, 1578)"
"(1260, 2280)","(1306, 2289)"
"(404, 838)","(421, 855)"
"(1883, 1614)","(1900, 1622)"
"(3375, 1363)","(3383, 1381)"
"(1627, 2254)","(1638, 2268)"
"(2688, 1206)","(2694, 1215)"
"(2471, 2124)","(2488, 2156)"
"(1535, 1525)","(1546, 1525)"
"(3175, 2499)","(3190, 2516)"
"(3262, 1749)","(3271, 1767)"
