"(1452, 2112)","(1488, 2139)"
"(2194, 1596)","(2212, 1614)"
"(3098, 1673)","(3100, 1693)"
"(2025, 1375)","(2027, 1383)"
"(1700, 1419)","(1702, 1422)"
"(2838, 1383)","(2850, 1392)"
"(2275, 1572)","(2288, 1581)"
"(3354, 1496)","(3362, 1499)"
"(975, 1740)","(988, 1737)"
"(1321, 1720)","(1333, 1720)"
"(3254, 1481)","(3277, 1481)"
"(1606, 1929)","(1625, 1929)"
"(1023, 1640)","(1038, 1658)"
"(3094, 2304)","(3108, 2313)"
"(2056, 1490)","(2065, 1493)"
"(2090, 1590)","(2096, 1596)"
"(1912, 1584)","(1927, 1596)"
"(1515, 1472)","(1525, 1475)"
"(3562, 1289)","(3571, 1298)"
"(2779, 1782)","(2788, 1799)"
"(1152, 1587)","(1171, 1605)"
"(3106, 1549)","(3127, 1563)"
"(2400, 1363)","(2408, 1369)"
"(2048, 1670)","(2065, 1678)"
"(3169, 1437)","(3181, 1454)"
"(788, 1145)","(790, 1156)"
"(875, 1304)","(888, 1307)"
"(2231, 1283)","(2240, 1283)"
"(644, 1227)","(650, 1236)"
"(571, 1227)","(571, 1242)"
"(3623, 1555)","(3644, 1560)"
"(1550, 2227)","(1577, 2245)"
"(748, 906)","(762, 935)"
"(419, 1791)","(438, 1802)"
"(1454, 1605)","(1450, 1605)"
"(590, 1664)","(615, 1664)"
"(2808, 1195)","(2812, 1195)"
"(2771, 2248)","(2790, 2280)"
"(638, 1903)","(652, 1897)"
"(3496, 2575)","(3519, 2617)"
"(3429, 1808)","(3433, 1811)"
