"(1038, 1844)","(1065, 1861)"
"(1958, 1342)","(1977, 1348)"
"(3012, 1386)","(3029, 1401)"
"(1904, 1274)","(1915, 1283)"
"(1558, 1301)","(1567, 1310)"
"(2658, 1251)","(2675, 1263)"
"(2115, 1381)","(2127, 1398)"
"(3167, 1366)","(3179, 1369)"
"(2071, 1826)","(2077, 1826)"
"(2317, 1767)","(2323, 1767)"
"(2908, 1363)","(2929, 1360)"
"(1471, 1705)","(1477, 1723)"
"(571, 1466)","(615, 1478)"
"(2923, 2086)","(2940, 2106)"
"(1942, 1383)","(1952, 1395)"
"(1946, 1504)","(1958, 1504)"
"(1794, 1448)","(1804, 1454)"
"(3442, 1528)","(3454, 1534)"
"(1838, 1522)","(1846, 1522)"
"(2640, 1560)","(2648, 1575)"
"(888, 1416)","(908, 1434)"
"(2900, 1319)","(2915, 1345)"
"(2277, 1248)","(2285, 1254)"
"(1731, 1496)","(1748, 1513)"
"(2983, 1283)","(2996, 1286)"
"(1858, 982)","(1865, 985)"
"(565, 1145)","(577, 1159)"
"(2169, 1204)","(2177, 1206)"
"(477, 1121)","(490, 1130)"
"(412, 1145)","(429, 1156)"
"(3415, 1425)","(3435, 1437)"
"(1183, 1959)","(1221, 1976)"
"(456, 581)","(485, 611)"
"(1821, 1442)","(1846, 1451)"
"(3400, 1221)","(3415, 1236)"
"(3269, 1298)","(3290, 1319)"
"(2665, 1112)","(2673, 1112)"
"(2562, 1844)","(2592, 1879)"
"(392, 1796)","(404, 1808)"
"(3240, 2236)","(3254, 2265)"
"(3319, 1619)","(3329, 1631)"
