"(1644, 2059)","(1662, 2068)"
"(2375, 1617)","(2390, 1634)"
"(3258, 1776)","(3271, 1779)"
"(717, 1372)","(719, 1378)"
"(406, 1348)","(412, 1369)"
"(2971, 1383)","(2981, 1383)"
"(2406, 1602)","(2421, 1611)"
"(3458, 1510)","(3475, 1510)"
"(1083, 1714)","(1098, 1726)"
"(1427, 1696)","(1444, 1696)"
"(3492, 1395)","(3538, 1407)"
"(1762, 1950)","(1777, 1965)"
"(1250, 1572)","(1271, 1584)"
"(3231, 2348)","(3246, 2354)"
"(2127, 1493)","(2138, 1496)"
"(1208, 1074)","(1206, 1074)"
"(902, 1735)","(902, 1752)"
"(1631, 1493)","(1646, 1504)"
"(3681, 1313)","(3688, 1319)"
"(2912, 1820)","(2923, 1847)"
"(1333, 1572)","(1344, 1572)"
"(3281, 1569)","(3300, 1581)"
"(2502, 1360)","(2506, 1360)"
"(2238, 1655)","(2250, 1661)"
"(3296, 1445)","(3302, 1448)"
"(2042, 1065)","(2035, 1068)"
"(1012, 1271)","(1019, 1274)"
"(875, 1313)","(875, 1316)"
"(746, 1218)","(758, 1221)"
"(3338, 1254)","(3346, 1263)"
"(3779, 1531)","(3790, 1537)"
"(1715, 2201)","(1731, 2209)"
"(956, 965)","(977, 985)"
"(660, 1732)","(681, 1740)"
"(3681, 1419)","(3690, 1425)"
"(3681, 1496)","(3696, 1513)"
"(1850, 1413)","(1856, 1413)"
"(2971, 2330)","(2996, 2342)"
"(781, 1882)","(794, 1882)"
"(3702, 2628)","(3727, 2655)"
"(3554, 1853)","(3562, 1864)"
