"(1071, 1982)","(1098, 2009)"
"(1950, 1425)","(1965, 1440)"
"(2965, 1442)","(2973, 1451)"
"(1917, 1316)","(1921, 1310)"
"(1565, 1336)","(1565, 1339)"
"(2658, 1292)","(2667, 1304)"
"(2104, 1440)","(2117, 1451)"
"(3177, 1407)","(3196, 1410)"
"(2077, 1867)","(2088, 1861)"
"(2333, 1805)","(2346, 1802)"
"(2921, 1440)","(2946, 1440)"
"(1446, 1761)","(1465, 1785)"
"(612, 1537)","(635, 1549)"
"(2915, 2136)","(2921, 2145)"
"(1946, 1422)","(1954, 1422)"
"(1958, 1540)","(1965, 1540)"
"(1790, 1484)","(1806, 1496)"
"(3423, 1572)","(3435, 1593)"
"(3377, 1150)","(3390, 1165)"
"(2621, 1611)","(2633, 1625)"
"(888, 1487)","(915, 1499)"
"(2879, 1389)","(2898, 1410)"
"(2271, 1289)","(2277, 1295)"
"(1735, 1560)","(1752, 1575)"
"(2985, 1333)","(2996, 1345)"
"(1852, 1021)","(1858, 1021)"
"(585, 1215)","(608, 1233)"
"(2158, 1230)","(2160, 1230)"
"(483, 1165)","(498, 1165)"
"(421, 1186)","(423, 1186)"
"(3412, 1472)","(3423, 1478)"
"(1223, 2056)","(1242, 2065)"
"(446, 673)","(465, 690)"
"(1844, 1499)","(1865, 1516)"
"(3398, 1265)","(3406, 1274)"
"(1617, 2145)","(1633, 2150)"
"(2671, 1142)","(2683, 1142)"
"(2544, 1935)","(2556, 1965)"
"(408, 1841)","(427, 1850)"
"(3215, 2327)","(3233, 2363)"
"(3300, 1664)","(3306, 1676)"
