"(1323, 2047)","(1344, 2056)"
"(2112, 1534)","(2140, 1537)"
"(3060, 1569)","(3069, 1593)"
"(533, 1324)","(538, 1324)"
"(1652, 1372)","(1656, 1381)"
"(2779, 1339)","(2792, 1345)"
"(2238, 1513)","(2221, 1525)"
"(1992, 1445)","(2000, 1445)"
"(912, 1705)","(931, 1705)"
"(1258, 1681)","(1273, 1690)"
"(3127, 1425)","(3156, 1442)"
"(1560, 1850)","(1575, 1858)"
"(867, 1575)","(888, 1596)"
"(3033, 2227)","(3050, 2242)"
"(2019, 1454)","(2031, 1460)"
"(2042, 1558)","(2054, 1569)"
"(1879, 1540)","(1888, 1549)"
"(398, 1239)","(406, 1239)"
"(1956, 1543)","(1967, 1549)"
"(2729, 1708)","(2738, 1720)"
"(1060, 1534)","(1079, 1552)"
"(3038, 1478)","(3060, 1499)"
"(2360, 1322)","(2369, 1336)"
"(1940, 1617)","(1969, 1637)"
"(3110, 1386)","(3129, 1401)"
"(1923, 1044)","(1929, 1056)"
"(775, 1257)","(798, 1265)"
"(2210, 1257)","(2217, 1263)"
"(594, 1195)","(604, 1204)"
"(517, 1204)","(529, 1215)"
"(3554, 1510)","(3573, 1522)"
"(1454, 2150)","(1469, 2162)"
"(673, 802)","(692, 835)"
"(2040, 1555)","(2054, 1569)"
"(3510, 1342)","(3525, 1348)"
"(1762, 2177)","(1773, 2180)"
"(1733, 1395)","(1727, 1389)"
"(2719, 2124)","(2735, 2145)"
"(567, 1873)","(585, 1873)"
"(3404, 2478)","(3419, 2478)"
"(3396, 1749)","(3410, 1761)"
