"(1515, 1976)","(1544, 1976)"
"(2288, 1534)","(2296, 1552)"
"(3231, 1658)","(3231, 1676)"
"(2052, 1342)","(2062, 1351)"
"(1731, 1378)","(1738, 1378)"
"(2900, 1327)","(2912, 1339)"
"(2342, 1537)","(2358, 1546)"
"(2056, 1440)","(2069, 1440)"
"(1021, 1684)","(1027, 1684)"
"(1358, 1658)","(1375, 1658)"
"(3340, 1354)","(3371, 1357)"
"(1708, 1870)","(1725, 1879)"
"(1092, 1510)","(1121, 1519)"
"(3167, 2263)","(3188, 2277)"
"(2085, 1454)","(2090, 1463)"
"(2973, 1153)","(2971, 1156)"
"(1969, 1555)","(1983, 1563)"
"(1606, 1419)","(1612, 1454)"
"(2040, 1507)","(2058, 1507)"
"(2854, 1749)","(2871, 1767)"
"(1227, 1510)","(1246, 1519)"
"(3196, 1487)","(3219, 1501)"
"(2450, 1316)","(2469, 1322)"
"(2121, 1596)","(2138, 1605)"
"(3227, 1389)","(3244, 1395)"
"(2000, 1029)","(2010, 1041)"
"(912, 1224)","(927, 1233)"
"(2271, 1260)","(2281, 1263)"
"(694, 1180)","(702, 1189)"
"(3294, 1218)","(3300, 1218)"
"(3698, 1481)","(3715, 1493)"
"(1610, 2106)","(1638, 2121)"
"(869, 858)","(881, 882)"
"(510, 1649)","(544, 1667)"
"(3631, 1354)","(3644, 1366)"
"(3594, 1428)","(3615, 1445)"
"(2842, 1156)","(2850, 1162)"
"(2912, 2204)","(2931, 2224)"
"(700, 1844)","(719, 1853)"
"(3604, 2507)","(3631, 2525)"
"(3506, 1785)","(3515, 1799)"
