"(1221, 2080)","(1242, 2091)"
"(2038, 1504)","(2038, 1516)"
"(3000, 1546)","(3000, 1558)"
"(473, 1324)","(488, 1330)"
"(1619, 1381)","(1619, 1381)"
"(2723, 1348)","(2729, 1354)"
"(2173, 1513)","(2167, 1510)"
"(3250, 1460)","(3250, 1457)"
"(873, 1717)","(879, 1726)"
"(1204, 1699)","(1210, 1708)"
"(3029, 1490)","(3042, 1496)"
"(1498, 1850)","(1504, 1853)"
"(762, 1611)","(779, 1619)"
"(2973, 2212)","(2979, 2224)"
"(1985, 1457)","(1994, 1463)"
"(2002, 1572)","(2010, 1572)"
"(1833, 1534)","(1842, 1549)"
"(3488, 1649)","(3500, 1670)"
"(1917, 1566)","(1925, 1566)"
"(2665, 1690)","(2675, 1702)"
"(988, 1546)","(1006, 1566)"
"(2954, 1472)","(2975, 1481)"
"(2310, 1333)","(2319, 1333)"
"(1854, 1625)","(1875, 1628)"
"(3050, 1395)","(3060, 1395)"
"(1885, 1050)","(1894, 1053)"
"(710, 1265)","(723, 1265)"
"(2181, 1254)","(2185, 1260)"
"(544, 1201)","(550, 1201)"
"(477, 1209)","(479, 1212)"
"(3488, 1516)","(3504, 1531)"
"(1344, 2168)","(1369, 2180)"
"(542, 782)","(560, 794)"
"(1944, 1552)","(1965, 1566)"
"(3448, 1327)","(3460, 1336)"
"(1688, 2186)","(1698, 2195)"
"(2723, 1168)","(2731, 1177)"
"(2610, 2080)","(2625, 2100)"
"(490, 1876)","(504, 1885)"
"(3298, 2440)","(3312, 2454)"
"(3340, 1726)","(3348, 1737)"
